                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1549,                0.59684,                 1.0229,                0.83574,                0.70215,                0.76821,                0.46961,                 1.2535,                0.58949,                 1.0515,               0.006436,               0.006436,               0.006436
                     74,                 1.1503,                0.59255,                 1.0189,                0.83656,                0.70137,                0.76874,                0.47019,                 1.2522,                0.58736,                   1.05,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1538,                 0.5964,                 1.0217,                0.83316,                0.70368,                 0.7693,                0.47044,                 1.2509,                0.58677,                 1.0502,               0.006337,               0.006337,               0.006337
                     76,                 1.1513,                0.59289,                 1.0196,                0.82992,                0.71168,                0.76966,                 0.4708,                 1.2491,                0.58771,                 1.0502,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1458,                0.59004,                 1.0144,                  0.833,                0.70784,                0.77038,                0.47085,                 1.2484,                0.58645,                 1.0499,               0.006238,               0.006238,               0.006238
                     78,                 1.1394,                0.58741,                 1.0171,                0.83813,                0.70896,                0.77454,                0.47328,                 1.2481,                0.58466,                 1.0496,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1335,                0.58187,                 1.0122,                0.83477,                0.71004,                0.77446,                0.47519,                  1.245,                0.58367,                 1.0487,               0.006139,               0.006139,               0.006139
                     80,                 1.1307,                 0.5818,                 1.0065,                0.83661,                0.70861,                0.77491,                0.47622,                 1.2443,                0.58236,                 1.0483,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1348,                0.57955,                  1.013,                 0.8367,                0.70797,                0.77575,                0.47648,                 1.2443,                0.58087,                 1.0485,                0.00604,                0.00604,                0.00604
                     82,                 1.1268,                 0.5784,                 1.0105,                0.83782,                0.71231,                0.77728,                0.47768,                 1.2429,                0.57927,                 1.0481,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1284,                0.57909,                  1.012,                0.84623,                0.71124,                0.77791,                0.47776,                 1.2418,                0.57778,                 1.0485,               0.005941,               0.005941,               0.005941
                     84,                  1.121,                0.57586,                 1.0063,                0.85026,                0.70797,                0.77644,                0.47751,                 1.2417,                0.57752,                 1.0489,              0.0058915,              0.0058915,              0.0058915
                     85,                  1.124,                0.58093,                 1.0097,                0.85117,                0.70714,                 0.7757,                0.47711,                 1.2412,                0.57728,                 1.0495,               0.005842,               0.005842,               0.005842
                     86,                 1.1159,                0.57023,                 1.0053,                0.84277,                0.71516,                0.77719,                0.47828,                 1.2412,                0.57745,                 1.0496,              0.0057925,              0.0057925,              0.0057925
                     87,                  1.117,                0.57253,                 1.0103,                0.84438,                0.71235,                0.77716,                0.47858,                 1.2407,                0.57636,                   1.05,               0.005743,               0.005743,               0.005743
                     88,                  1.114,                0.56974,                 1.0031,                0.84648,                0.70956,                 0.7786,                 0.4794,                   1.24,                 0.5752,                 1.0494,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1069,                0.56591,                 1.0027,                  0.843,                0.71204,                0.77825,                0.48005,                 1.2387,                0.57393,                 1.0486,               0.005644,               0.005644,               0.005644
                     90,                 1.1078,                0.56491,                 1.0034,                0.84509,                0.71263,                0.77875,                0.47973,                 1.2381,                 0.5725,                 1.0481,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1027,                 0.5636,                 1.0024,                0.84805,                0.71139,                0.78065,                0.48176,                 1.2366,                 0.5718,                 1.0477,               0.005545,               0.005545,               0.005545
                     92,                 1.1036,                0.56064,                 1.0045,                 0.8539,                0.70797,                0.78076,                0.48175,                 1.2362,                0.57123,                 1.0476,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1032,                0.56418,                0.99951,                0.85075,                0.71382,                0.78137,                0.48174,                 1.2358,                0.57086,                 1.0476,               0.005446,               0.005446,               0.005446
                     94,                 1.0979,                0.55936,                0.99536,                0.84978,                0.71459,                0.78178,                0.48202,                 1.2351,                0.57061,                 1.0474,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.0995,                 0.5595,                0.99828,                0.83827,                0.71847,                0.77987,                0.48101,                 1.2346,                 0.5702,                 1.0475,               0.005347,               0.005347,               0.005347
                     96,                 1.0967,                0.55727,                 1.0007,                0.83875,                0.71883,                0.78066,                0.48111,                 1.2345,                0.57002,                 1.0475,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0905,                0.55423,                0.99612,                 0.8414,                0.71695,                0.78157,                0.48203,                 1.2346,                 0.5694,                 1.0475,               0.005248,               0.005248,               0.005248
                     98,                 1.0926,                0.55501,                0.99504,                0.84723,                0.71224,                0.78104,                0.48204,                 1.2334,                0.56903,                 1.0471,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.0877,                0.55291,                0.99555,                0.84238,                0.71656,                0.78217,                0.48211,                 1.2332,                0.56817,                 1.0469,               0.005149,               0.005149,               0.005149
